"guid","title","link","journal","pubDate","score","reasons","matched_themes","scored_at"
"https://www.sciencedirect.com/science/article/pii/S0883292726002179","Soil geochemical patterns in Lesvos island UNESCO Global Geopark, Greece: Unveiling the influence of diverse geology","https://www.sciencedirect.com/science/article/pii/S0883292726002179?dgcid=rss_sd_all","Applied Geochemistry","","7","Geothermal water geochemistry study relevant to secondary research interests.","geothermal hydrogeochem,soil/atm study","2026-05-21T04:14:57.706068+00:00"
"https://www.sciencedirect.com/science/article/pii/S0883292726001897","An exploration of groundwater chromium contamination from a chromite mine, Sukinda, India","https://www.sciencedirect.com/science/article/pii/S0883292726001897?dgcid=rss_sd_all","Applied Geochemistry","","6","Groundwater redox geochemistry study with thematic adjacency to core research.","redox geochemistry,shallow/general groundwater,deep subsurface microbial","2026-05-21T04:14:57.706068+00:00"
"https://www.sciencedirect.com/science/article/pii/S0883292726001927","Environmental impact assessment of seal water systems during construction of rock cavern tanks at the Namikata National LPG stockpiling base: Characterization of scale deposition using scale surveys and column flow tests","https://www.sciencedirect.com/science/article/pii/S0883292726001927?dgcid=rss_sd_all","Applied Geochemistry","","9","Deep groundwater isotope hydrogeochemistry study closely matching core research interests.","deep groundwater,isotope methods,surface water","2026-05-21T04:14:57.706068+00:00"
"https://www.sciencedirect.com/science/article/pii/S0883292726002131","Polyphase of uranium mineralization in granite-related deposits: Insights from the geochronology and geochemistry of pitchblende and coffinite in the Xiwang uranium deposit, South China","https://www.sciencedirect.com/science/article/pii/S0883292726002131?dgcid=rss_sd_all","Applied Geochemistry","","7","Geothermal water geochemistry study relevant to secondary research interests.","geothermal hydrogeochem,radionuclide geochemistry","2026-05-21T04:14:57.706068+00:00"
"https://www.sciencedirect.com/science/article/pii/S0883292726001873","Geochemical modeling of CO 2 sequestration via weathering of steel slag: Reactive transport and mineralization dynamics","https://www.sciencedirect.com/science/article/pii/S0883292726001873?dgcid=rss_sd_all","Applied Geochemistry","","3","General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.","general geochemistry","2026-05-21T04:14:57.706068+00:00"
"https://www.sciencedirect.com/science/article/pii/S0883292726002106","Trace metal release induced by chemo-lithotrophic denitrification in deeper aquifers of the Lower Rhine Embayment, Germany","https://www.sciencedirect.com/science/article/pii/S0883292726002106?dgcid=rss_sd_all","Applied Geochemistry","","5","General groundwater geochemistry study with limited isotope or redox content.","shallow/general groundwater","2026-05-21T04:14:57.706068+00:00"
"https://www.sciencedirect.com/science/article/pii/S0883292726001885","Monitoring produced waters and groundwaters using strontium isotopes ( 87 Sr/ 86 Sr) at a CO 2 -enhanced oil recovery site in the Permian Basin","https://www.sciencedirect.com/science/article/pii/S0883292726001885?dgcid=rss_sd_all","Applied Geochemistry","","9","Deep groundwater isotope hydrogeochemistry study closely matching core research interests.","deep groundwater,isotope methods","2026-05-21T04:14:57.706068+00:00"
"https://www.sciencedirect.com/science/article/pii/S088329272600212X","Silica enrichment in a low-temperature granite aquifer: Supersaturation in weathering crust vs. enhanced dissolution in deep fractures","https://www.sciencedirect.com/science/article/pii/S088329272600212X?dgcid=rss_sd_all","Applied Geochemistry","","10","Deep groundwater study combining isotope methods with geothermal system.","deep groundwater,isotope methods,geothermal hydrogeochem","2026-05-21T04:14:57.706068+00:00"
"https://www.sciencedirect.com/science/article/pii/S0883292726001812","7 Be, 210 Pb and 137 Cs in snow deposits on the territory of Altai krai, Novosibirsk and Tomsk oblasts","https://www.sciencedirect.com/science/article/pii/S0883292726001812?dgcid=rss_sd_all","Applied Geochemistry","","7","Radionuclide or HLW-related geochemistry relevant to geological disposal research.","HLW/radionuclide disposal,radionuclide geochemistry,soil/atm study","2026-05-21T04:14:57.706068+00:00"
"https://www.sciencedirect.com/science/article/pii/S0883292726002118","Zinc isotope fractionation during the interaction with different molecular weight fractions of dissolved organic matter","https://www.sciencedirect.com/science/article/pii/S0883292726002118?dgcid=rss_sd_all","Applied Geochemistry","","2","Surface water or marine geochemistry study with no groundwater or isotope hydrogeology relevance.","isotope methods,surface water","2026-05-21T04:14:57.706068+00:00"
"https://www.sciencedirect.com/science/article/pii/S0883292726001903","Defining pedo-geochemical backgrounds in former mining area by reinforcing the soil sampling strategies and advanced geostatistical approaches","https://www.sciencedirect.com/science/article/pii/S0883292726001903?dgcid=rss_sd_all","Applied Geochemistry","","3","General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.","general geochemistry","2026-05-21T04:14:57.706068+00:00"
"https://www.sciencedirect.com/science/article/pii/S0883292726002076","Dissolution kinetics of steel slag in ammonium chloride solutions for carbon mineralization: An experimental study and implications for carbon capture and sequestration","https://www.sciencedirect.com/science/article/pii/S0883292726002076?dgcid=rss_sd_all","Applied Geochemistry","","3","General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.","general geochemistry","2026-05-21T04:14:57.706068+00:00"
"https://www.sciencedirect.com/science/article/pii/S0883292726002039","Fluoride as a tracer of vertical hydraulic connectivity in volcanic aquifers: Decadal hydrogeochemical response to seismic activity in Tenerife (Canary Islands)","https://www.sciencedirect.com/science/article/pii/S0883292726002039?dgcid=rss_sd_all","Applied Geochemistry","","6","Groundwater isotope hydrogeochemistry — methodologically relevant but focuses on shallow systems.","isotope methods,shallow/general groundwater,NO3/F isotope forensics","2026-05-21T04:14:57.706068+00:00"
"https://www.sciencedirect.com/science/article/pii/S0883292726001915","Geo-engineering materials for simultaneous ammonium and phosphate control: binding capacity, desorption behavior and sediment nutrient release","https://www.sciencedirect.com/science/article/pii/S0883292726001915?dgcid=rss_sd_all","Applied Geochemistry","","2","Surface water or marine geochemistry study with no groundwater or isotope hydrogeology relevance.","surface water","2026-05-21T04:14:57.706068+00:00"
"https://www.sciencedirect.com/science/article/pii/S0883292726002088","Nitrogen contents and natural 15 N abundance of proteins in plants and soils: Analytical methods and biogeochemical implications","https://www.sciencedirect.com/science/article/pii/S0883292726002088?dgcid=rss_sd_all","Applied Geochemistry","","2","Soil or atmospheric geochemistry study unrelated to groundwater hydrogeochemistry.","soil/atm study","2026-05-21T04:14:57.706068+00:00"
"https://www.sciencedirect.com/science/article/pii/S088329272600209X","Evaluation of geochemical changes in coastal aquifers induced by seawater intrusion and CO 2 leakage using column experiments","https://www.sciencedirect.com/science/article/pii/S088329272600209X?dgcid=rss_sd_all","Applied Geochemistry","","6","Groundwater isotope hydrogeochemistry — methodologically relevant but focuses on shallow systems.","isotope methods,shallow/general groundwater,surface water,soil/atm study","2026-05-21T04:14:57.706068+00:00"
"https://www.sciencedirect.com/science/article/pii/S088329272600185X","Isotopic fingerprints of CO 2 release from low-temperature oxidation of coal tailings using oxygen consumption experiments","https://www.sciencedirect.com/science/article/pii/S088329272600185X?dgcid=rss_sd_all","Applied Geochemistry","","3","General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.","isotope methods","2026-05-21T04:14:57.706068+00:00"
"https://www.sciencedirect.com/science/article/pii/S0883292726001939","Direct evidence for enhanced mineral weathering in cropland verified by quantitative X-ray powder diffraction","https://www.sciencedirect.com/science/article/pii/S0883292726001939?dgcid=rss_sd_all","Applied Geochemistry","","3","General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.","general geochemistry","2026-05-21T04:14:57.706068+00:00"
"https://www.sciencedirect.com/science/article/pii/S0883292726002064","Subsurface chlorophyll maximum plays a critical role in water column primary productivity in a large reservoir: evidence from high-resolution diel O 2 mass balance","https://www.sciencedirect.com/science/article/pii/S0883292726002064?dgcid=rss_sd_all","Applied Geochemistry","","3","General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.","general geochemistry","2026-05-21T04:14:57.706068+00:00"
"https://www.sciencedirect.com/science/article/pii/S0883292726002052","Silicate-bound 3-hydroxy fatty acids in marine sediments: temperature signals and implications","https://www.sciencedirect.com/science/article/pii/S0883292726002052?dgcid=rss_sd_all","Applied Geochemistry","","3","General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.","general geochemistry","2026-05-21T04:14:57.706068+00:00"
"https://www.sciencedirect.com/science/article/pii/S0883292726001848","Sustainable River-Basin management under monsoon variability: Spatio-temporal hydrochemistry and water-quality suitability in the Kankai Basin of Nepal Himalaya","https://www.sciencedirect.com/science/article/pii/S0883292726001848?dgcid=rss_sd_all","Applied Geochemistry","","2","Surface water or marine geochemistry study with no groundwater or isotope hydrogeology relevance.","surface water","2026-05-21T04:14:57.706068+00:00"
"https://www.sciencedirect.com/science/article/pii/S0883292726002040","Elucidating the origin of sulphate in the Upper Silesian Coal Basin in southern Poland using machine learning clustering and Bayesian mixing model","https://www.sciencedirect.com/science/article/pii/S0883292726002040?dgcid=rss_sd_all","Applied Geochemistry","","6","Machine learning applied to hydrogeochemistry or groundwater quality — relevant to secondary ML interests.","isotope methods,ML+hydrogeochem","2026-05-21T04:14:57.706068+00:00"
"https://www.sciencedirect.com/science/article/pii/S0883292726001824","Characterizing nickel adsorption-desorption on kaolinite","https://www.sciencedirect.com/science/article/pii/S0883292726001824?dgcid=rss_sd_all","Applied Geochemistry","","3","General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.","general geochemistry","2026-05-21T04:14:57.706068+00:00"
"https://www.sciencedirect.com/science/article/pii/S088329272600171X","Use of radiocarbon and stable carbon isotope for evaluating the provenance and cycling of particulate organic carbon in a hyper-eutrophic lake, China","https://www.sciencedirect.com/science/article/pii/S088329272600171X?dgcid=rss_sd_all","Applied Geochemistry","","2","Surface water or marine geochemistry study with no groundwater or isotope hydrogeology relevance.","isotope methods,surface water","2026-05-21T04:14:57.706068+00:00"
"https://www.sciencedirect.com/science/article/pii/S0883292726001575","The vertical distribution and redox-dependent mobilization of arsenic in naturally contaminated karstic paddy soils from southwestern China","https://www.sciencedirect.com/science/article/pii/S0883292726001575?dgcid=rss_sd_all","Applied Geochemistry","","2","Soil or atmospheric geochemistry study unrelated to groundwater hydrogeochemistry.","redox geochemistry,soil/atm study","2026-05-21T04:14:57.706068+00:00"
"https://www.sciencedirect.com/science/article/pii/S0883292726001563","Influence of inundation frequency on soil organic carbon stability in northern China's estuarine wetlands","https://www.sciencedirect.com/science/article/pii/S0883292726001563?dgcid=rss_sd_all","Applied Geochemistry","","2","Surface water or marine geochemistry study with no groundwater or isotope hydrogeology relevance.","surface water,soil/atm study","2026-05-21T04:14:57.706068+00:00"
"https://www.sciencedirect.com/science/article/pii/S0883292726001782","Hydrothermal mobilization of heavy rare earth elements in carbonate-rich systems: Implications from the Arıklı mineralization (NW Türkiye)","https://www.sciencedirect.com/science/article/pii/S0883292726001782?dgcid=rss_sd_all","Applied Geochemistry","","3","General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.","general geochemistry","2026-05-21T04:14:57.706068+00:00"
"https://www.sciencedirect.com/science/article/pii/S0883292726001721","Supergene enrichment-dominated gold mineralization in the Phayaung Taung deposit, Myanmar","https://www.sciencedirect.com/science/article/pii/S0883292726001721?dgcid=rss_sd_all","Applied Geochemistry","","3","General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.","general geochemistry","2026-05-21T04:14:57.706068+00:00"
"https://www.sciencedirect.com/science/article/pii/S0883292726001551","Comparative evaluation of deep-penetrating geochemistry (DPG) for concealed Au deposit and exploration strategies in semi-arid central China","https://www.sciencedirect.com/science/article/pii/S0883292726001551?dgcid=rss_sd_all","Applied Geochemistry","","3","General geochemistry study with limited relevance to hydrogeochemical or isotope research profile.","general geochemistry","2026-05-21T04:14:57.706068+00:00"
